  f  zad   ion[i,j]
  49   319  114
  49   320  108
  49   321   99
  49   322   95
  49   323  105
  49   324  117
  49   325  128
  49   326  133
  49   327  132
  49   328  128
  49   329  129
  49   330  132
  49   331  132
  49   332  122
  49   333   98
  49   335   91
  49   336  105
  49   337  112
  49   338  114
  49   339  111
  49   340   94
  49   341   95
  49   342  116
  49   343  122
  49   344  122
  49   345  104
  49   347  110
  49   348  115
  49   349  110
  49   350  106
  49   351  110
  49   352  103
  49   354   93
  49   355  116
  49   356  122
  49   357  118
  49   358  114
  49   359  120
  49   360  122
  49   361  117
  49   362  118
  49   363  125
  49   364  123
  49   365  113
  49   366  110
  49   367  110
  49   368  108
  49   369  102
  49   377   99
  49   378  108
  49   379  105
  49   380   98
  49   397   88
  49   398   91
  49   408   90
  49   409   95
  49   410   89
  49   411   90
  49   412   92
  49   547   89
  49   551   90
  49   555   88
  49   647   88
  50   275   92
  50   276  111
  50   277  107
  50   318   95
  50   319  104
  50   323   91
  50   324  102
  50   325   98
  50   326  107
  50   327  115
  50   328  111
  50   329  101
  50   330  102
  50   331  109
  50   332  113
  50   333   99
  50   336   92
  50   337   92
  50   338   95
  50   340   91
  50   341   95
  50   342   88
  50   343   99
  50   344  112
  50   345  111
  50   346  101
  50   347   99
  50   348  111
  50   349  113
  50   350  114
  50   351  111
  50   352   99
  50   353   87
  50   354   94
  50   355  108
  50   356  112
  50   357  100
  50   359  106
  50   360  109
  50   361   89
  50   362   91
  50   363  116
  50   364  121
  50   365   88
  50   366   98
  50   367   94
  50   368   94
  50   369  109
  50   370   98
  50   371   87
  50   377  100
  50   378  109
  50   379  111
  50   380  105
  50   397   98
  50   398   93
  50   404   88
  50   407   91
  50   408  100
  50   409   92
  50   411   94
  50   412   98
  50   413   91
  50   546   88
  50   547   91
  50   548   89
  50   642   88
  51   274   85
  51   275  108
  51   276  120
  51   277  114
  51   278   88
  51   318   86
  51   319   86
  51   332   90
  51   333   90
  51   340   94
  51   341   96
  51   345  103
  51   346   93
  51   348   95
  51   349   84
  51   350   99
  51   351   95
  51   356   91
  51   359   94
  51   360   89
  51   363   97
  51   364  113
  51   365  107
  51   366  101
  51   367   96
  51   368   99
  51   369  107
  51   370   99
  51   371   87
  51   375   88
  51   376   88
  51   377   89
  51   378   86
  51   379   95
  51   380   96
  51   385   86
  51   392   85
  51   393   87
  51   394   91
  51   395   93
  51   396   95
  51   397  103
  51   404   94
  51   405   87
  51   408   98
  51   412   89
  51   423   84
  51   430   88
  51   431   83
  51   562   84
  51   642   87
  51   643   86
  52   274   93
  52   275  109
  52   276  116
  52   277  111
  52   278   86
  52   340   83
  52   341   85
  52   342   85
  52   345   90
  52   346   89
  52   347   84
  52   348   81
  52   359   87
  52   364  101
  52   365  104
  52   366   87
  52   367   93
  52   368  100
  52   369   94
  52   375   84
  52   376   82
  52   384   83
  52   391   84
  52   393   80
  52   394  101
  52   395  106
  52   396  104
  52   397  101
  52   398   93
  52   399   80
  52   400   84
  52   401   82
  52   404   91
  52   405   98
  52   406   91
  52   407   89
  52   408   96
  52   409   89
  52   413   79
  52   415   85
  52   416   86
  52   424   86
  52   425   84
  52   435   80
  52   439   80
  52   442   85
